Sec,NanoSec,Sec_total,X,Y,Z,x_dot,y_dot,z_dot,q_x,q_y,q_z,q_w
1.63E+09,6.58E+07,1.63E+09,67.374,-14.676,8.6651,-0.00031106,-0.0032056,-0.0006219,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,9.94E+07,1.63E+09,67.374,-14.676,8.665,-0.00043828,-0.0027247,-0.00030671,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,1.33E+08,1.63E+09,67.374,-14.676,8.665,-0.00070298,-0.0026131,2.67E-05,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,1.66E+08,1.63E+09,67.374,-14.676,8.665,-0.00058383,-0.0021042,-2.58E-05,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,1.99E+08,1.63E+09,67.374,-14.676,8.665,-0.00043038,-0.0013905,-0.0018014,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,2.33E+08,1.63E+09,67.374,-14.676,8.665,1.71E-05,-0.00087883,-0.0015368,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,2.66E+08,1.63E+09,67.374,-14.676,8.6649,-0.00053687,-0.00087314,-0.00089689,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,2.99E+08,1.63E+09,67.374,-14.676,8.6649,-0.00047454,-0.0012552,-0.00028994,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,3.33E+08,1.63E+09,67.374,-14.676,8.6649,0.00016457,-0.001096,0.0003828,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,3.66E+08,1.63E+09,67.374,-14.676,8.6649,0.00043331,-0.0013312,0.00024673,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,3.99E+08,1.63E+09,67.374,-14.676,8.6649,8.70E-05,-0.00096935,0.000978,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,4.33E+08,1.63E+09,67.374,-14.676,8.6649,0.00031561,-0.0012822,0.00067431,-0.049895,-0.16441,-0.015417,0.98501
