time in sec,v_x,v_y,v_z,w_x,w_y,w_z
1632492873,-0.001475461,5.76E-05,0.001715297,3.44E-17,1.65E-15,0
1632492873,-0.001345969,5.22E-05,0.001572699,3.51E-17,1.68E-15,0
1632492873,-0.001192206,4.62E-05,0.00139401,3.44E-17,1.65E-15,0
1632492873,-0.001093532,4.24E-05,0.001278757,3.48E-17,1.67E-15,0
1632492874,-0.000990087,3.84E-05,0.001157806,3.48E-17,1.67E-15,0
1632492874,-0.000889134,3.44E-05,0.001039752,3.46E-17,1.66E-15,0
1632492874,-0.000802493,3.11E-05,0.000938435,3.45E-17,1.65E-15,0
1632492874,-0.000737305,2.86E-05,0.000862205,3.50E-17,1.68E-15,0
1632492874,-0.000663975,2.57E-05,0.000776452,3.48E-17,1.67E-15,0
1632492874,-0.000595573,2.31E-05,0.000696463,3.45E-17,1.66E-15,0
1632492874,-0.000525708,2.04E-05,0.000614762,3.36E-17,1.61E-15,0
1632492874,-0.000509145,1.97E-05,0.000595394,3.60E-17,1.73E-15,0
1632492874,-0.000442741,1.71E-05,0.000517741,3.46E-17,1.66E-15,0
1632492874,-0.000400472,1.55E-05,0.000468312,3.45E-17,1.66E-15,0
1632492874,-0.000366316,1.42E-05,0.00042837,3.49E-17,1.68E-15,0
1632492874,-0.000328718,1.27E-05,0.000384403,3.46E-17,1.66E-15,0
1632492874,-0.000297288,1.15E-05,0.000347649,3.46E-17,1.66E-15,0
1632492874,-0.000272985,1.06E-05,0.000319229,3.51E-17,1.68E-15,0
1632492874,-0.000242042,9.38E-06,0.000283044,3.44E-17,1.65E-15,0
1632492874,-0.000221321,8.57E-06,0.000258812,3.47E-17,1.67E-15,0
1632492874,-0.000200691,7.77E-06,0.000234688,3.48E-17,1.67E-15,0
1632492874,-0.000180656,7.00E-06,0.000211259,3.46E-17,1.66E-15,0
1632492874,-0.000163805,6.34E-06,0.000191554,3.46E-17,1.66E-15,0
1632492874,-0.000150477,5.83E-06,0.000175967,3.51E-17,1.69E-15,0
1632492874,-0.000133348,5.17E-06,0.000155937,3.44E-17,1.65E-15,0
1632492874,-0.000121061,4.69E-06,0.000141568,3.45E-17,1.66E-15,0
1632492874,-0.000110751,4.29E-06,0.000129512,3.49E-17,1.67E-15,0
1632492874,-4.99E-05,1.93E-06,5.84E-05,1.74E-17,8.34E-16,0
1632492874,-9.01E-05,3.49E-06,0.00010536,3.46E-17,1.66E-15,0
1632492874,-8.22E-05,3.19E-06,9.62E-05,3.49E-17,1.68E-15,0
1632492874,-7.36E-05,2.85E-06,8.61E-05,3.45E-17,1.66E-15,0
1632492874,-6.67E-05,2.58E-06,7.80E-05,3.45E-17,1.66E-15,0
1632492874,-6.09E-05,2.36E-06,7.12E-05,3.49E-17,1.67E-15,0
1632492875,-5.47E-05,2.12E-06,6.40E-05,3.46E-17,1.66E-15,0
1632492875,-2.49E-05,9.64E-07,2.91E-05,1.74E-17,8.34E-16,0
1632492875,-4.49E-05,1.74E-06,5.25E-05,3.46E-17,1.66E-15,0
1632492875,-4.07E-05,1.58E-06,4.76E-05,3.47E-17,1.66E-15,0
1632492875,-3.71E-05,1.44E-06,4.34E-05,3.50E-17,1.68E-15,0
1632492875,-3.30E-05,1.28E-06,3.86E-05,3.43E-17,1.65E-15,0
1632492875,-3.02E-05,1.17E-06,3.53E-05,3.47E-17,1.67E-15,0
1632492875,-2.76E-05,1.07E-06,3.23E-05,3.51E-17,1.68E-15,0
1632492875,-2.45E-05,9.49E-07,2.87E-05,3.44E-17,1.65E-15,0
1632492875,-2.24E-05,8.67E-07,2.62E-05,3.47E-17,1.66E-15,0
1632492875,-2.04E-05,7.90E-07,2.39E-05,3.49E-17,1.68E-15,0
1632492875,-1.82E-05,7.06E-07,2.13E-05,3.45E-17,1.65E-15,0
1632492875,-1.66E-05,6.42E-07,1.94E-05,3.46E-17,1.66E-15,0
1632492875,-0.000359688,4.03E-05,-0.000139884,3.48E-17,1.67E-15,0
1632492875,-0.00026721,4.68E-05,-0.000463136,3.48E-17,1.67E-15,0
1632492875,-0.000135952,3.52E-05,-0.000477974,3.47E-17,1.66E-15,0
1632492875,0.000176297,-2.47E-06,-0.000298906,3.44E-17,1.65E-15,0
1632492875,0.000305233,-2.97E-05,2.27E-05,3.50E-17,1.68E-15,0
1632492875,0.000480646,-5.54E-05,0.000220419,3.47E-17,1.66E-15,0
1632492875,-0.000407288,2.42E-05,0.000297424,3.45E-17,1.66E-15,0
1632492875,-0.000379327,1.55E-05,0.000425725,3.50E-17,1.68E-15,0
1632492875,-0.000151243,-1.56E-05,0.000633007,3.44E-17,1.65E-15,0
1632492875,-0.000515127,2.96E-05,0.000396317,3.42E-17,1.64E-15,0
1632492875,-0.000498424,2.96E-05,0.000364165,3.56E-17,1.71E-15,0
1632492875,-3.38E-05,-2.65E-05,0.00063006,3.44E-17,1.65E-15,0
1632492875,-0.000249036,1.19E-05,0.000243291,3.46E-17,1.66E-15,0
1632492875,-0.000380438,1.02E-05,0.000540929,3.50E-17,1.68E-15,0
1632492875,-0.000396504,1.64E-05,0.000442261,3.46E-17,1.66E-15,0
1632492875,-0.000195948,1.88E-05,-8.54E-06,1.74E-17,8.34E-16,0
1632492876,0.004630822,-0.001355463,0.019589517,-0.003784115,-0.04036974,-0.001898776
1632492876,-0.017577986,0.000963574,0.014419694,-0.052765086,-0.080415977,0.022854393
1632492876,-0.138922269,0.013478142,-0.001137774,-0.075332377,-0.12900229,0.055432374
1632492876,-0.310167253,0.035100854,-0.090598493,-0.194269939,-0.005492543,-0.04140121
