Sec,NanoSec,0-ref Sec,Latitude,Longitude,Altitude
1632492880,169424656,11.74965501,42.295317,-83.7096148,234.398
1632492880,219311906,11.79954219,42.29531883,-83.70961626,234.283
1632492880,269468225,11.84969854,42.29531598,-83.70961377,234.126
1632492880,319220349,11.89945054,42.29531865,-83.70961602,233.935
1632492880,369175109,11.94940543,42.29531566,-83.70961302,234.197
1632492880,419273953,11.99950409,42.29535926,-83.7096535,231
1632492880,469083042,12.04931331,42.29536876,-83.70965984,231.761
1632492880,519022701,12.09925294,42.29537065,-83.70966105,231.65
1632492880,569146777,12.14937711,42.2953605,-83.70965141,232.521
1632492880,618898565,12.19912887,42.29536094,-83.70965174,232.553
1632492880,671834741,12.25206494,42.29535874,-83.70964997,232.189
1632492880,718861597,12.29909182,42.29535787,-83.70964901,232.29
1632492880,768957508,12.34918785,42.2953613,-83.70965195,232.03
1632492880,818796681,12.39902687,42.29535319,-83.70964506,232.531
1632492880,868842657,12.44907284,42.29530465,-83.70960409,236.104
1632492880,918626138,12.49885631,42.29530474,-83.70960407,236.159
1632492880,968601741,12.54883194,42.29530411,-83.70960177,236.364
1632492881,18531013,12.59876132,42.29530437,-83.7096022,236.352
1632492881,68502860,12.64873314,42.29530016,-83.70959865,236.771
1632492881,119490602,12.69972086,42.29530077,-83.70959896,236.73
1632492881,169559996,12.74979019,42.29530076,-83.70959723,236.804
1632492881,219285381,12.79951572,42.29530144,-83.70959778,236.723
1632492881,269275069,12.84950519,42.2953079,-83.70960357,235.514
1632492881,319186049,12.89941621,42.2953079,-83.70960389,235.557
1632492881,369223259,12.94945359,42.2953064,-83.70959942,235.993
1632492881,419110725,12.99934101,42.29530669,-83.70959982,236.004
1632492881,469035031,13.04926538,42.29530427,-83.70959784,236.272
1632492881,519028615,13.0992589,42.29530489,-83.70959858,236.407
1632492881,568987898,13.14921808,42.29530601,-83.70960059,236.211
1632492881,618936510,13.19916677,42.29530659,-83.70960103,236.204
1632492881,671893823,13.25212407,42.29531623,-83.709609,235.985
1632492881,718791378,13.29902172,42.29531653,-83.70960925,235.978
1632492881,768809695,13.34904003,42.29532268,-83.7096113,238.414
1632492881,818864305,13.39909458,42.2953228,-83.70961176,238.362
1632492881,868649431,13.44887972,42.29534201,-83.70962787,238.599
1632492881,918627622,13.49885798,42.29534313,-83.70962887,238.706
1632492881,968519630,13.54874992,42.29534618,-83.70963011,239.453
1632492882,18558533,13.59878874,42.29534674,-83.70963054,239.54
1632492882,68427752,13.64865804,42.29534422,-83.70962864,239.563
1632492882,118420473,13.6986506,42.29534533,-83.70962951,239.858
1632492882,169362953,13.74959326,42.29534713,-83.70963025,240.322
1632492882,219228584,13.79945874,42.29533633,-83.70962574,236.244
1632492882,269214294,13.84944463,42.29533857,-83.709628,236.01
1632492882,319163314,13.89939356,42.29533777,-83.70962793,235.482
1632492882,369122740,13.94935298,42.29533766,-83.7096281,235.359
1632492882,419041580,13.99927187,42.29533785,-83.70962844,235.463
1632492882,469009376,14.04923964,42.29534043,-83.70963084,235.269
1632492882,519133261,14.09936357,42.29533978,-83.70963064,234.708
1632492882,569164851,14.14939499,42.29534032,-83.70963055,234.623
1632492882,618805190,14.19903541,42.29534047,-83.70963046,234.554
1632492882,671964898,14.25219512,42.29534602,-83.70963619,233.618
1632492882,718982374,14.29921269,42.2953474,-83.70963703,233.876
1632492882,768698371,14.34892869,42.2953482,-83.70963752,234.041
1632492882,818630077,14.39886022,42.29534806,-83.70963761,233.991
1632492882,868618190,14.44884849,42.29534089,-83.70963042,235.039
1632492882,918580453,14.49881077,42.29534006,-83.70963005,234.59
1632492882,968746472,14.54897666,42.29534077,-83.70963012,234.842
1632492883,18658651,14.59888887,42.2953409,-83.70963024,234.97
1632492883,68579365,14.64880967,42.29533124,-83.70962094,236.471
1632492883,118316407,14.69854665,42.29533091,-83.70962101,236.243
1632492883,169352230,14.74958253,42.29533133,-83.70962125,236.244
1632492883,219286379,14.79951668,42.29533165,-83.70962141,236.259
1632492883,270166669,14.85039687,42.29532899,-83.70961822,237.177
1632492883,318123414,14.89835358,42.29532878,-83.70961818,237.015
1632492883,369083806,14.94931412,42.29532917,-83.70961845,237.076
1632492883,419091279,14.99932146,42.29532974,-83.70961883,237.087
1632492883,469022775,15.04925299,42.29532542,-83.70961533,237.318
1632492883,518967164,15.09919739,42.29532497,-83.70961557,237.103
1632492883,569221860,15.14945221,42.29532528,-83.70961584,237.142
1632492883,618824538,15.19905472,42.29532596,-83.70961603,237.184
1632492883,671779133,15.25200939,42.29532645,-83.70961671,236.778
1632492883,718801251,15.2990315,42.29532625,-83.70961675,236.616
1632492883,768841453,15.34907174,42.29532657,-83.70961703,236.644
1632492883,818654057,15.3988843,42.29532709,-83.70961742,236.636
1632492883,869545829,15.44977617,42.29532238,-83.70961467,235.46
1632492883,918507876,15.49873805,42.2953142,-83.70961122,232.492
1632492883,968481194,15.54871154,42.29531483,-83.70961158,232.581
1632492884,18408226,15.59863853,42.29531536,-83.70961192,232.634
1632492884,69375745,15.64960599,42.29532363,-83.70961497,235.335
1632492884,119348526,15.69957876,42.29532643,-83.7096166,236.007
1632492884,170417835,15.75064802,42.2953299,-83.70961793,236.976
1632492884,219181492,15.79941177,42.29533023,-83.70961819,236.965
1632492884,269313720,15.84954405,42.29533176,-83.70961967,236.806
1632492884,319095223,15.89932537,42.29533177,-83.70961958,236.703
1632492884,369197807,15.94942808,42.29533197,-83.70961943,236.694
1632492884,418987230,15.99921751,42.29533205,-83.70961929,236.702
1632492884,461912932,16.04214311,NaN,NaN,NaN
1632492884,519081530,16.09931183,42.29533068,-83.70961727,237.323
1632492884,569017332,16.14924765,42.29533109,-83.70961743,237.36
1632492884,618944336,16.19917464,42.29533157,-83.70961774,237.238
1632492884,671954714,16.25218487,42.29533204,-83.70961795,237.219
1632492884,718685926,16.2989161,42.29533232,-83.7096182,237.261
1632492884,768679058,16.34890938,42.29533275,-83.70961851,237.329
1632492884,818565471,16.3987956,42.29533289,-83.70961837,237.373
1632492884,868578137,16.44880843,42.29533026,-83.70961548,237.893
1632492884,918495215,16.49872541,42.29533032,-83.70961563,237.766
1632492884,968381048,16.5486114,42.29533054,-83.70961556,237.726
1632492885,18392869,16.59862304,42.29533104,-83.70961547,237.715
1632492885,68352319,16.64858246,42.29533207,-83.70961563,237.703
1632492885,119426775,16.69965696,42.29533255,-83.70961589,237.646
1632492885,169218305,16.74944854,42.29533274,-83.70961639,237.702
1632492885,219155718,16.79938602,42.29533316,-83.70961655,237.715
1632492885,269123303,16.84935355,42.29533685,-83.70961924,238.034
1632492885,319070172,16.89930034,42.29533641,-83.70961903,237.9
1632492885,369220325,16.94945049,42.29533613,-83.70961906,237.867
1632492885,418997576,16.99922776,42.29533608,-83.70961909,237.876
1632492885,469111368,17.04934168,42.29533268,-83.70961556,238.633
1632492885,518923517,17.09915376,42.29533245,-83.70961538,238.554
1632492885,568783096,17.14901328,42.2953284,-83.70961281,237.15
1632492885,618818949,17.19904923,42.29532846,-83.7096129,237.147
1632492885,671645901,17.25187612,42.29532948,-83.70961374,237.025
1632492885,718675834,17.29890609,42.29532986,-83.70961412,237.204
1632492885,768754145,17.34898448,42.29532952,-83.70961446,237.212
1632492885,818503254,17.39873338,42.29532809,-83.7096143,236.651
1632492885,868457447,17.44868779,42.29532769,-83.70961389,236.792
1632492885,918413590,17.49864388,42.29532847,-83.7096144,236.992
1632492885,968403023,17.54863334,42.29532872,-83.70961429,237.066
1632492886,18331329,17.59856153,42.29538609,-83.70967026,228.695
1632492886,68250080,17.64848042,42.29538778,-83.7096712,228.596
1632492886,118397160,17.69862747,42.29538766,-83.70967114,228.477
1632492886,169239888,17.74947023,42.29533103,-83.7096152,236.984
1632492886,218130081,17.79836035,42.29533107,-83.7096152,236.946
1632492886,269023679,17.84925389,42.29532891,-83.70961304,237.105
1632492886,318966740,17.89919686,42.2953298,-83.70961338,237.415
1632492886,368980309,17.94921064,42.29533013,-83.7096138,237.458
