Sec,NanoSec,0-ref Sec,w_left,w_right
1632492897,819284557,28.99691391,4.179285282,4.179285282
1632492897,918262834,29.09589219,2.362204724,2.362204724
1632492898,17043307,29.19467282,0.545124167,0.545124167
1632492898,115940532,29.29357004,0.423985463,4.360993337
1632492898,225514527,29.40314388,0.242277408,6.056935191
1632492898,324528362,29.50215793,0.847970927,6.056935191
1632492898,424437989,29.60206747,1.938219261,6.056935191
1632492898,523435480,29.70106506,3.331314355,6.056935191
1632492898,622443797,29.80007339,1.695941853,6.056935191
1632492898,721384747,29.89901423,0.908540279,6.056935191
1632492898,820256850,29.99788642,-0.181708056,6.056935191
1632492898,919235624,30.09686518,-1.817080557,6.056935191
1632492899,18119941,30.19574952,-1.938219261,3.149606299
1632492899,117066438,30.29469585,-0.605693519,0.605693519
1632492899,216144923,30.39377451,0,0
1632492899,325761998,30.5033915,1.029678982,2.54391278
1632492899,425477554,30.60310698,3.210175651,3.997577226
1632492899,524548061,30.70217752,5.451241672,5.451241672
1632492899,623377894,30.80100727,6.056935191,3.089036947
1632492899,721489093,30.89911866,6.056935191,2.059357965
1632492899,821410870,30.99904037,6.056935191,4.239854634
1632492899,920281077,31.09791064,4.179285282,4.179285282
1632492900,19284659,31.1969142,2.422774076,2.422774076
1632492900,118099115,31.29572868,0.605693519,0.605693519
1632492900,217142141,31.39477158,2.362204724,2.362204724
1632492900,316199827,31.49382925,4.239854634,4.239854634
1632492900,425706484,31.60333586,6.056935191,5.511811024
1632492900,524459054,31.70208859,6.056935191,4.724409449
1632492900,623634968,31.80126452,6.056935191,2.665051484
1632492900,723322984,31.90095234,6.056935191,3.331314355
1632492900,822421518,32.00005102,6.056935191,3.331314355
1632492900,921178512,32.09880805,6.056935191,3.089036947
1632492901,20255697,32.19788527,5.996365839,2.422774076
1632492901,119356980,32.29698634,4.845548153,3.573591763
1632492901,218218961,32.39584851,2.362204724,2.362204724
1632492901,317129334,32.49475884,6.056935191,2.241066021
1632492901,416146433,32.59377599,5.996365839,1.453664446
1632492901,525539756,32.70316935,6.056935191,1.211387038
1632492901,624521208,32.80215073,6.056935191,2.119927317
1632492901,723915395,32.90154481,2.483343428,2.301635373
1632492901,823545871,33.0011754,0.605693519,0.605693519
1632492901,922378192,33.10000777,2.422774076,2.422774076
1632492902,21451448,33.19908094,2.241066021,6.056935191
1632492902,120422609,33.29805207,1.57480315,6.056935191
1632492902,219180707,33.39681029,1.332525742,6.056935191
1632492902,318250788,33.49588037,1.695941853,6.056935191
1632492902,417034441,33.59466386,3.755299818,5.996365839
1632492902,516351522,33.69398093,4.179285282,4.179285282
1632492902,625492592,33.80312204,2.362204724,2.362204724
1632492902,725478759,33.90310812,2.483343428,2.483343428
1632492902,823601722,34.00123119,4.724409449,3.937007874
1632492902,923465152,34.10109472,6.056935191,5.330102968
1632492903,22412853,34.20004225,6.056935191,5.39067232
1632492903,121299153,34.29892874,4.239854634,4.239854634
1632492903,220427726,34.39805722,2.422774076,2.422774076
1632492903,319417049,34.49704647,0.605693519,0.605693519
1632492903,418247750,34.59587717,0,0
1632492903,517179010,34.69480848,2.180496669,1.393095094
1632492903,616135225,34.79376459,4.058146578,3.149606299
1632492903,726505229,34.90413475,5.875227135,4.966686856
1632492903,824584158,35.00221372,6.056935191,4.482132041
1632492903,924480075,35.10210943,4.179285282,4.179285282
1632492904,22552400,35.20018196,2.362204724,2.362204724
1632492904,122442825,35.30007219,0.545124167,0.545124167
1632492904,221200786,35.39883018,0,0
1632492904,320304810,35.49793434,1.695941853,1.695941853
1632492904,419306876,35.59693646,0,0
1632492904,518150515,35.69578004,0,0
1632492904,617125251,35.79475474,1.817080557,1.817080557
1632492904,716170010,35.89379954,3.573591763,3.573591763
1632492904,825671590,36.00330114,5.451241672,5.451241672
1632492904,924609157,36.10223866,6.056935191,6.056935191
1632492905,24514060,36.20214343,4.179285282,4.179285282
1632492905,123400740,36.30103016,2.362204724,2.362204724
1632492905,222569518,36.40019894,0.545124167,0.545124167
1632492905,321300428,36.49892998,0,0
1632492905,420427433,36.59805679,0,0
1632492905,519159777,36.69678926,1.695941853,1.695941853
1632492905,618073186,36.7957027,3.573591763,3.573591763
1632492905,717162243,36.8947916,4.239854634,6.056935191
1632492905,816058676,36.99368811,4.239854634,6.056935191
1632492905,914918432,37.09254789,4.239854634,6.056935191
1632492906,25291709,37.20292115,4.845548153,6.056935191
1632492906,124563416,37.30219293,6.056935191,6.056935191
1632492906,223421229,37.40105081,6.056935191,6.056935191
1632492906,322455018,37.5000844,6.056935191,6.056935191
1632492906,421443452,37.59907293,6.056935191,6.056935191
1632492906,520276199,37.69790578,6.056935191,6.056935191
1632492906,619258212,37.79688764,4.179285282,4.179285282
1632492906,718235262,37.89586473,2.362204724,2.362204724
1632492906,817236078,37.99486566,5.148394912,1.514233798
1632492906,916113104,38.09374261,6.056935191,1.635372502
1632492907,14933838,38.1925633,6.056935191,4.300423985
1632492907,124595636,38.30222511,6.056935191,4.542701393
1632492907,224362843,38.40199232,6.056935191,6.056935191
1632492907,323372518,38.50100207,4.300423985,6.056935191
1632492907,422202193,38.59983158,6.056935191,6.056935191
1632492907,521407599,38.69903708,6.056935191,5.330102968
1632492907,620322611,38.79795218,6.056935191,3.937007874
1632492907,719193630,38.89682317,6.056935191,3.937007874
1632492907,818117250,38.99574661,6.056935191,3.937007874
1632492907,917070106,39.09469962,4.239854634,4.239854634
1632492908,16039086,39.1936686,2.362204724,2.362204724
1632492908,115013216,39.29264259,0.545124167,0.545124167
1632492908,225592586,39.40322208,0,0
1632492908,324509670,39.50213909,0,0
1632492908,423414622,39.60104418,0,0
1632492908,521603704,39.69923329,0,0
1632492908,621227167,39.79885674,1.938219261,-1.938219261
1632492908,719753452,39.89738297,5.693519079,-2.059357965
1632492908,819201392,39.99683094,6.056935191,-0.666262871
1632492908,917662949,40.09529233,6.056935191,-2.54391278
1632492909,16997727,40.19462729,5.39067232,-3.634161114
1632492909,116001727,40.29363132,6.056935191,-2.725620836
