Sec,NanoSec,0-ref Sec,a_x,a_y,a_z,w_x,w_y,w_z
1632492881,205055744,12.48881507,0.343224239,1.261889821,-10.2762128,-0.013464063,0.553097486,-0.291776448
1632492881,215066624,12.49882603,-0.445672149,1.18429454,-10.28040967,0.080680102,0.558211267,-0.29596594
1632492881,225084928,12.50884438,-1.171889524,1.440548644,-10.25845736,0.140127748,0.563135028,-0.293300211
1632492881,235099136,12.51885843,-1.806603432,1.711947272,-10.34734327,0.140882552,0.562267005,-0.292775303
1632492881,245109504,12.52886891,-2.179885833,1.657593751,-10.06031964,0.089879267,0.55623132,-0.291089773
1632492881,255122176,12.53888154,-2.116418446,1.573773166,-9.561246668,0.011302318,0.548629522,-0.287174016
1632492881,265136640,12.54889607,-1.770478664,1.246001201,-8.388997371,-0.07808999,0.546972811,-0.281088471
1632492881,275147008,12.55890632,-1.217720863,0.939398208,-7.560422394,-0.160755381,0.546683788,-0.279529959
1632492881,285159680,12.56891894,-0.996980263,0.748312741,-6.72301237,-0.233475864,0.54566288,-0.287113458
1632492881,295174144,12.57893348,-0.159515001,0.121624255,-5.435066901,-0.286225587,0.549774766,-0.306794107
1632492881,305184512,12.58894396,0.601744316,-0.176227358,-5.250706359,-0.279967785,0.553822041,-0.340322584
1632492881,315197184,12.59895658,0.17387727,-0.361619143,-6.878690423,-0.195286289,0.561029494,-0.376736879
1632492881,325211648,12.60897112,-0.144453625,-0.24138595,-10.43096146,-0.034623325,0.559161305,-0.41413632
1632492881,335221760,12.61898112,-0.094665813,0.351083538,-12.17348318,0.186175168,0.564161479,-0.443041444
1632492881,345233920,12.62899327,0.03561077,1.472925166,-12.51381053,0.381638795,0.564216435,-0.467097223
1632492881,355248128,12.63900757,0.188468617,2.541287534,-12.59401044,0.497074544,0.568709135,-0.477281272
1632492881,365258496,12.64901781,-0.232861794,3.362460417,-11.71134263,0.508129478,0.567390203,-0.479831457
1632492881,375270912,12.6590302,-1.314147247,3.211538911,-12.44361295,0.420309097,0.567261934,-0.474103302
1632492881,385285120,12.66904449,-2.600660052,2.760258201,-12.84221947,0.259592474,0.559323788,-0.444868326
1632492881,395295488,12.67905474,-2.808359677,1.772764729,-12.18574995,0.077115752,0.555359721,-0.398383021
1632492881,405307904,12.68906736,-2.203161202,0.514494341,-10.77481114,-0.069296092,0.547347426,-0.34911719
1632492881,413324032,12.69708347,-1.368610951,-0.351512541,-9.244034237,-0.16596669,0.545011997,-0.305314541
1632492881,423336448,12.70709586,-0.732987965,-0.803084707,-8.556627143,-0.197873265,0.540271521,-0.270625442
1632492881,433350656,12.71710992,-0.456964308,-0.95580581,-8.392584581,-0.19312185,0.542767286,-0.248667136
1632492881,443372800,12.72713208,-0.251339335,-1.423000566,-8.570092773,-0.16335772,0.541061699,-0.23700738
1632492881,453391104,12.73715043,-0.26943573,-2.130538303,-8.769905152,-0.091240279,0.544186592,-0.225574225
1632492881,463405312,12.74716473,-0.272339526,-2.831850735,-8.844814554,0.006585057,0.543286502,-0.210671514
