Sec,NanoSec,Sec_total,Left_vel,Right_vel
1.63E+09,9.20E+08,1.63E+09,4.1793,4.1793
1.63E+09,1.93E+07,1.63E+09,2.4228,2.4228
1.63E+09,1.18E+08,1.63E+09,0.60569,0.60569
1.63E+09,2.17E+08,1.63E+09,2.3622,2.3622
1.63E+09,3.16E+08,1.63E+09,4.2399,4.2399
1.63E+09,4.26E+08,1.63E+09,6.0569,5.5118
1.63E+09,5.24E+08,1.63E+09,6.0569,4.7244
1.63E+09,6.24E+08,1.63E+09,6.0569,2.6651
1.63E+09,7.23E+08,1.63E+09,6.0569,3.3313
1.63E+09,8.22E+08,1.63E+09,6.0569,3.3313
1.63E+09,9.21E+08,1.63E+09,6.0569,3.089
1.63E+09,2.03E+07,1.63E+09,5.9964,2.4228
1.63E+09,1.19E+08,1.63E+09,4.8455,3.5736
1.63E+09,2.18E+08,1.63E+09,2.3622,2.3622
1.63E+09,3.17E+08,1.63E+09,6.0569,2.2411
1.63E+09,4.16E+08,1.63E+09,5.9964,1.4537
1.63E+09,5.26E+08,1.63E+09,6.0569,1.2114
1.63E+09,6.25E+08,1.63E+09,6.0569,2.1199
1.63E+09,7.24E+08,1.63E+09,2.4833,2.3016
1.63E+09,8.24E+08,1.63E+09,0.60569,0.60569
1.63E+09,9.22E+08,1.63E+09,2.4228,2.4228
1.63E+09,2.15E+07,1.63E+09,2.2411,6.0569
1.63E+09,1.20E+08,1.63E+09,1.5748,6.0569
1.63E+09,2.19E+08,1.63E+09,1.3325,6.0569
1.63E+09,3.18E+08,1.63E+09,1.6959,6.0569
1.63E+09,4.17E+08,1.63E+09,3.7553,5.9964
1.63E+09,5.16E+08,1.63E+09,4.1793,4.1793
1.63E+09,6.25E+08,1.63E+09,2.3622,2.3622
1.63E+09,7.25E+08,1.63E+09,2.4833,2.4833
1.63E+09,8.24E+08,1.63E+09,4.7244,3.937
1.63E+09,9.23E+08,1.63E+09,6.0569,5.3301
1.63E+09,2.24E+07,1.63E+09,6.0569,5.3907
1.63E+09,1.21E+08,1.63E+09,4.2399,4.2399
1.63E+09,2.20E+08,1.63E+09,2.4228,2.4228
1.63E+09,3.19E+08,1.63E+09,0.60569,0.60569
1.63E+09,4.18E+08,1.63E+09,0,0
1.63E+09,5.17E+08,1.63E+09,2.1805,1.3931
1.63E+09,6.16E+08,1.63E+09,4.0581,3.1496
1.63E+09,7.27E+08,1.63E+09,5.8752,4.9667
1.63E+09,8.25E+08,1.63E+09,6.0569,4.4821
1.63E+09,9.24E+08,1.63E+09,4.1793,4.1793
1.63E+09,2.26E+07,1.63E+09,2.3622,2.3622
1.63E+09,1.22E+08,1.63E+09,0.54512,0.54512
1.63E+09,2.21E+08,1.63E+09,0,0
1.63E+09,3.20E+08,1.63E+09,1.6959,1.6959
1.63E+09,4.19E+08,1.63E+09,0,0
1.63E+09,5.18E+08,1.63E+09,0,0
1.63E+09,6.17E+08,1.63E+09,1.8171,1.8171
1.63E+09,7.16E+08,1.63E+09,3.5736,3.5736
1.63E+09,8.26E+08,1.63E+09,5.4512,5.4512
1.63E+09,9.25E+08,1.63E+09,6.0569,6.0569
1.63E+09,2.45E+07,1.63E+09,4.1793,4.1793
1.63E+09,1.23E+08,1.63E+09,2.3622,2.3622
1.63E+09,2.23E+08,1.63E+09,0.54512,0.54512
1.63E+09,3.21E+08,1.63E+09,0,0
1.63E+09,4.20E+08,1.63E+09,0,0
1.63E+09,5.19E+08,1.63E+09,1.6959,1.6959
1.63E+09,6.18E+08,1.63E+09,3.5736,3.5736
1.63E+09,7.17E+08,1.63E+09,4.2399,6.0569
1.63E+09,8.16E+08,1.63E+09,4.2399,6.0569
1.63E+09,9.15E+08,1.63E+09,4.2399,6.0569
1.63E+09,2.53E+07,1.63E+09,4.8455,6.0569
1.63E+09,1.25E+08,1.63E+09,6.0569,6.0569
1.63E+09,2.23E+08,1.63E+09,6.0569,6.0569
1.63E+09,3.22E+08,1.63E+09,6.0569,6.0569
1.63E+09,4.21E+08,1.63E+09,6.0569,6.0569
1.63E+09,5.20E+08,1.63E+09,6.0569,6.0569
1.63E+09,6.19E+08,1.63E+09,4.1793,4.1793
1.63E+09,7.18E+08,1.63E+09,2.3622,2.3622
1.63E+09,8.17E+08,1.63E+09,5.1484,1.5142
1.63E+09,9.16E+08,1.63E+09,6.0569,1.6354
1.63E+09,1.49E+07,1.63E+09,6.0569,4.3004
1.63E+09,1.25E+08,1.63E+09,6.0569,4.5427
1.63E+09,2.24E+08,1.63E+09,6.0569,6.0569
1.63E+09,3.23E+08,1.63E+09,4.3004,6.0569
1.63E+09,4.22E+08,1.63E+09,6.0569,6.0569
1.63E+09,5.21E+08,1.63E+09,6.0569,5.3301
1.63E+09,6.20E+08,1.63E+09,6.0569,3.937
1.63E+09,7.19E+08,1.63E+09,6.0569,3.937
1.63E+09,8.18E+08,1.63E+09,6.0569,3.937
1.63E+09,9.17E+08,1.63E+09,4.2399,4.2399
1.63E+09,1.60E+07,1.63E+09,2.3622,2.3622
1.63E+09,1.15E+08,1.63E+09,0.54512,0.54512
1.63E+09,2.26E+08,1.63E+09,0,0
1.63E+09,3.25E+08,1.63E+09,0,0
1.63E+09,4.23E+08,1.63E+09,0,0
1.63E+09,5.22E+08,1.63E+09,0,0
