t,X,Y,Z,qW,qX,qY,qZ
217.7,-0.19746187664954,-2.15188700823626,-0.138139621075277,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
217.8,-0.197461876576423,-2.15188700819221,-0.138139620906456,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
217.8,-0.197461876497682,-2.15188700814477,-0.138139620724649,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
217.9,-0.197461876424566,-2.15188700810072,-0.138139620555828,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
217.9,-0.197502374281585,-2.151865706553,-0.138154867737465,-0.000918329394014213,0.198782558007229,0.119507033078662,0.972729520652036
218,-0.197236852402538,-2.15181291516018,-0.138269827321171,-0.00079958799149285,0.198767968265418,0.11953129763706,0.972729625505392
218,-0.197128903775476,-2.15172054079991,-0.138338612357556,-0.000838442869856313,0.198649126289996,0.119649939657545,0.972739283455592
218.1,-0.197105168479281,-2.15165686909183,-0.138363992696573,-0.000838442869856313,0.198649126289996,0.119649939657545,0.972739283455592
218.1,-0.197098665385725,-2.15163942415631,-0.13837094632861,-0.000838442869856313,0.198649126289996,0.119649939657545,0.972739283455592
218.2,-0.197096819858136,-2.15163447353935,-0.138372919519618,-0.000838442869856313,0.198649126289996,0.119649939657545,0.972739283455592
218.2,-0.197096347773927,-2.15163320730964,-0.138373424043087,-0.000838442869856313,0.198649126289996,0.119649939657545,0.972739283455592
218.3,-0.197096244943175,-2.15163293162124,-0.13837353373596,-0.000838442869856313,0.198649126289996,0.119649939657545,0.972739283455592
218.3,-0.197096219380879,-2.15163286321187,-0.138373560804237,-0.000838442869856313,0.198649126289996,0.119649939657545,0.972739283455592
218.4,-0.197096213452645,-2.15163284744913,-0.138373566915439,-0.000838442869856313,0.198649126289996,0.119649939657545,0.972739283455592
218.4,-0.197123096173821,-2.15143864890779,-0.138387421262843,-0.000670515483916057,0.198628467743714,0.119684231365779,0.972739413703963
218.5,-0.197158907211716,-2.15114101814351,-0.138384132232832,-0.000226245610387047,0.198697382213158,0.119648333138185,0.972729960210846
218.5,-0.197182919803786,-2.15105874277983,-0.138346637030294,-0.000226245610387047,0.198697382213158,0.119648333138185,0.972729960210846
218.6,-0.197153532932255,-2.15109921300616,-0.138306046296747,-0.000226245610387047,0.198697382213158,0.119648333138185,0.972729960210846
218.6,-0.197142084912769,-2.15111497855534,-0.138290233619937,-0.000226245610387047,0.198697382213158,0.119648333138185,0.972729960210846
218.7,-0.19713959267532,-2.15111841059202,-0.138286791140811,-0.000226245610387047,0.198697382213158,0.119648333138185,0.972729960210846
218.8,-0.197139019455408,-2.1511191998628,-0.138285999318806,-0.000226245610387047,0.198697382213158,0.119648333138185,0.972729960210846
218.8,-0.197138838766858,-2.15111944854398,-0.138285749676506,-0.000226245610387047,0.198697382213158,0.119648333138185,0.972729960210846
218.8,-0.197138785824908,-2.15111952127403,-0.138285676474334,-0.000226245610387047,0.198697382213158,0.119648333138185,0.972729960210846
218.9,-0.197138773874472,-2.1511195375523,-0.138285659891776,-0.000226245610387047,0.198697382213158,0.119648333138185,0.972729960210846
218.9,-0.197138771526428,-2.15111954065439,-0.138285656592805,-0.000226245610387047,0.198697382213158,0.119648333138185,0.972729960210846
219,-0.197138770619925,-2.15111954174734,-0.138285655274836,-0.000226245610387047,0.198697382213158,0.119648333138185,0.972729960210846
219,-0.197138770365654,-2.15111954197794,-0.138285654872961,-0.000226245610387047,0.198697382213158,0.119648333138185,0.972729960210846
219.1,-0.197138770226886,-2.15111954203751,-0.138285654625559,-0.000226245610387047,0.198697382213158,0.119648333138185,0.972729960210846
219.1,-0.197138770132811,-2.15111954202357,-0.138285654434824,-0.000226245610387047,0.198697382213158,0.119648333138185,0.972729960210846
219.2,-0.197138770057639,-2.15111954198361,-0.138285654270197,-0.000226245610387047,0.198697382213158,0.119648333138185,0.972729960210846
219.2,-0.197138769982504,-2.15111954193163,-0.138285654100556,-0.000226245610387047,0.198697382213158,0.119648333138185,0.972729960210846
219.3,-0.19713876990364,-2.15111954187283,-0.138285653920698,-0.000226245610387047,0.198697382213158,0.119648333138185,0.972729960210846
219.4,-0.197138769842091,-2.15111954182606,-0.138285653779954,-0.000226245610387047,0.198697382213158,0.119648333138185,0.972729960210846
219.4,-0.197138769769483,-2.15111954177061,-0.138285653613803,-0.000226245610387047,0.198697382213158,0.119648333138185,0.972729960210846
219.4,-0.197138769713662,-2.15111954172791,-0.138285653486038,-0.000226245610387047,0.198697382213158,0.119648333138185,0.972729960210846
219.5,-0.197138769646687,-2.15111954167665,-0.138285653332735,-0.000226245610387047,0.198697382213158,0.119648333138185,0.972729960210846
