id,t,w_l,w_r
e,67.1003551483154,1.15081768625076,1.15081768625076
e,67.1996157169342,2.11992731677771,2.11992731677771
e,67.298193693161,2.48334342822532,2.48334342822532
e,67.3970944881439,2.24106602059358,2.24106602059358
e,67.5955147743225,2.24106602059358,2.24106602059358
e,67.6944963932037,2.24106602059358,2.24106602059358
e,67.7953214645386,2.24106602059358,2.24106602059358
e,67.8966765403748,2.24106602059358,2.24106602059358
e,67.9909272193909,2.36220472440945,2.36220472440945
e,68.090699672699,2.11992731677771,2.11992731677771
e,68.2000069618225,2.11992731677771,2.11992731677771
e,68.2990651130676,2.11992731677771,2.11992731677771
e,68.3980078697205,1.93821926105391,1.93821926105391
e,68.4976894855499,1.69594185342217,1.69594185342217
e,68.5962512493134,1.5748031496063,1.21138703815869
e,68.6954307556152,1.51423379769836,0.969109630526953
e,68.7948756217957,1.45366444579043,0.484554815263477
e,68.8938930034637,1.69594185342217,0.302846759539673
e,68.9927036762238,1.93821926105391,0.545124167171411
e,69.0916662216187,1.87764990914597,0.66626287098728
e,69.1905369758606,1.81708055723804,0.726832222895215
e,69.3006980419159,1.63537250151423,0.605693519079346
e,69.3991079330444,1.81708055723804,0.726832222895215
e,69.4979083538055,2.11992731677771,0.66626287098728
e,69.597359418869,2.05935796486978,0.484554815263477
e,69.7980396747589,1.69594185342217,0.242277407631738
e,69.8946642875671,1.51423379769836,0
e,69.9929084777832,1.51423379769836,0
e,70.0926702022552,1.63537250151423,0.0605693519079346
e,70.1919465065002,1.69594185342217,0
e,70.2901346683502,2.72562083585706,0.0605693519079346
e,70.4995234012604,3.02846759539673,0.0605693519079346
e,70.599014043808,2.96789824348879,0.121138703815869
e,70.6973798274994,2.96789824348879,0.121138703815869
e,70.7966303825378,2.96789824348879,0.121138703815869
e,70.8950145244598,2.96789824348879,0.121138703815869
e,70.9941964149475,2.96789824348879,0.121138703815869
e,71.0958127975464,3.45245305875227,0.66626287098728
e,71.1967663764954,3.21017565112053,0.423985463355542
e,71.2915372848511,3.39188370684434,0.545124167171411
e,71.3908052444458,3.21017565112053,0.423985463355542
e,71.4895958900452,3.3313143549364,0.605693519079346
e,71.5998113155365,3.39188370684434,0.545124167171411
e,71.6989026069641,3.39188370684434,0.726832222895215
e,71.7973039150238,2.66505148394912,0.121138703815869
e,71.8960196971893,1.99878861296184,-0.242277407631738
