,Sec,NanoSec,0-ref Sec,a_x,a_y,a_z,w_x,w_y,w_z,w_left,w_right,X,Y,Z,qX,qY,qZ,qW,v_x,v_y,v_z
p,1633451994,823777750,0.700762987,,,,0,2.12E-16,0,,,-0.163166176,0.150738274,0.082015801,0.019552825,-0.021770725,-0.00232048,0.999569076,-0.004915637,-0.000567869,0.004413033
of,1633451994,612277746,0.704230547,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
ho,1633451994,612277840,0.704230547,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
e,1633451994,612277840,0.704230547,,,,,,,0,0,,,,,,,,,,
i,1633451994,577683968,0.708432913,-0.372058156,0.049652879,-9.80238299,0.000646442,0.536496282,-0.000727311,,,,,,,,,,,,
i,1633451994,587689216,0.718438148,-0.372806819,0.053017008,-9.803761877,0.000405051,0.535596788,-0.001574498,,,,,,,,,,,,
of,1633451994,635227203,0.727180004,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451994,597696768,0.728445768,-0.380141838,0.054391607,-9.802391174,0.000600368,0.53842634,-0.001519545,,,,,,,,,,,,
p,1633451994,856513750,0.73349905,,,,0,2.08E-16,0,,,-0.163333311,0.15071495,0.082152302,0.019552825,-0.021770725,-0.00232048,0.999569076,-0.004359529,-0.000503625,0.003913784
i,1633451994,607706368,0.738455296,-0.383958583,0.057438678,-9.805531225,0.000770725,0.536350846,-0.000882349,,,,,,,,,,,,
of,1633451994,655247927,0.747200727,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451994,617711872,0.74846077,-0.387317319,0.058572537,-9.80322061,-0.000377517,0.537306786,-0.001004172,,,,,,,,,,,,
i,1633451994,627719168,0.758468151,-0.388702636,0.061182354,-9.805756851,0.001297701,0.533957005,-0.001171874,,,,,,,,,,,,
p,1633451994,889926750,0.766911983,,,,0,2.09E-16,0,,,-0.163484603,0.150693837,0.082275863,0.019552825,-0.021770725,-0.00232048,0.999569076,-0.003980931,-0.000459888,0.003573897
of,1633451994,675258398,0.767211199,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451994,637728256,0.768477201,-0.387620723,0.058316224,-9.798820914,0.000582746,0.537314594,-0.001033542,,,,,,,,,,,,
i,1633451994,647733248,0.778482199,-0.382872871,0.053595858,-9.802558347,0.000198296,0.535137355,-0.001804826,,,,,,,,,,,,
of,1633451994,695310593,0.787263393,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451994,657740288,0.788489342,-0.378952007,0.051090912,-9.800802443,-0.001110595,0.536646008,-0.001384774,,,,,,,,,,,,
i,1633451994,667749376,0.798498392,-0.375018431,0.05049675,-9.803943664,8.56E-05,0.536711693,-0.003172317,,,,,,,,,,,,
p,1633451994,923048750,0.800034046,,,,0,2.09E-16,0,,,-0.163621554,0.150674725,0.082387711,0.019552825,-0.021770725,-0.00232048,0.999569076,-0.003593917,-0.000415179,0.003226454
e,1633451994,711542202,0.80349493,,,,,,,0,0,,,,,,,,,,
