,Sec,NanoSec,0-ref Sec,a_x,a_y,a_z,w_x,w_y,w_z,w_left,w_right,X,Y,Z,qX,qY,qZ,qW,v_x,v_y,v_z
i,1633452098,12989696,104.1437387,0.350668783,-0.523530903,-8.273333933,-0.113422275,0.539094865,-0.131434098,,,,,,,,,,,,
i,1633452098,23006208,104.1537552,0.359554795,-0.813074698,-8.553177879,-0.127651125,0.544245601,-0.136332914,,,,,,,,,,,,
i,1633452098,33024512,104.1637735,0.100548241,-1.244412178,-10.25150506,-0.090784676,0.543612063,-0.140782639,,,,,,,,,,,,
of,1633452098,75388908,104.1673417,,,,0,0,0.081039284,,,55.60354184,48.62399383,0,0,0,0.997058689,0.076641838,1.039451838,0,0
of,1633452098,75388908,104.1673417,,,,0,0,0.081039284,,,55.60354184,48.62399383,0,0,0,0.997058689,0.076641838,1.039451838,0,0
p,1633452098,296421750,104.1734071,,,,0.05795766,-0.032655442,-0.04501242,,,33.54445776,-54.5680185,-5.851082878,0.003510924,-0.085310925,0.943501576,0.320178849,0.97624915,-0.003438639,-0.029814573
i,1633452098,43038464,104.1737874,0.040830726,-1.271113284,-10.57405125,-0.027185831,0.544426143,-0.135162324,,,,,,,,,,,,
i,1633452098,53054720,104.1838038,0.24132631,-0.800599247,-9.904726928,0.024340926,0.541700542,-0.120575763,,,,,,,,,,,,
i,1633452098,63073024,104.1938219,0.003349772,-0.14979884,-10.03624435,0.057684198,0.544381082,-0.117254592,,,,,,,,,,,,
i,1633452098,73087232,104.2038362,-0.225889379,0.421689435,-10.64158808,0.042727184,0.540311098,-0.108992264,,,,,,,,,,,,
e,1633452098,114799598,104.2067523,,,,,,,5.330102968,6.056935191,,,,,,,,,,
ho,1633452098,114799598,104.2067523,,,,0,0,-0.005791387,,,55.40162231,48.56943654,0,0,0,0.996415526,0.084593729,0.940923598,0,0
p,1633452098,329856750,104.2068419,,,,-0.007401304,0.030516359,-0.01958201,,,33.51864057,-54.54804896,-5.850026334,0.00440041,-0.084568835,0.943340535,0.320838563,0.955620415,0.018412938,-0.046493317
of,1633452098,115332127,104.2072849,,,,0,0,0.081039284,,,55.56247533,48.63034475,0,0,0,0.997181426,0.075028014,1.041236426,0,0
of,1633452098,115332127,104.2072849,,,,0,0,0.060958583,,,55.56923094,48.63192849,0,0,0,0.996891881,0.078781838,0.961479045,0,0
i,1633452098,83103488,104.2138524,0.124191886,0.964790131,-10.66655301,0.004947647,0.538903356,-0.100646801,,,,,,,,,,,,
p,1633452098,362842750,104.2398281,,,,-0.026411769,0.044216815,-0.040110061,,,33.49331904,-54.52920566,-5.849675003,0.003913766,-0.084521071,0.94322863,0.321186273,0.949348598,-0.005646486,-0.044577689
i,1633452098,113152512,104.2439015,-0.021145582,0.562752687,-9.897660058,-0.031313747,0.54151392,-0.120141521,,,,,,,,,,,,
of,1633452098,155272245,104.247225,,,,0,0,0.060958583,,,55.53130851,48.63795998,0,0,0,0.996987047,0.077568217,0.961353983,0,0
i,1633452098,123170304,104.2539194,-0.013392218,0.148094923,-9.891144977,-0.002467724,0.544988751,-0.134419858,,,,,,,,,,,,
i,1633452098,133184256,104.2639332,0.243314488,-0.296313106,-9.707485277,0.046445787,0.540819824,-0.141012549,,,,,,,,,,,,
of,1633452098,175528765,104.2674816,,,,0,0,0.060958583,,,55.51206979,48.64097186,0,0,0,0.997034748,0.076952658,0.961290555,0,0
of,1633452098,175528765,104.2674816,,,,0,0,0.060958583,,,55.51206979,48.64097186,0,0,0,0.997034748,0.076952658,0.961290555,0,0
i,1633452098,143200512,104.2739494,-0.195481363,-0.528986501,-9.664700028,0.074564517,0.542265713,-0.131487891,,,,,,,,,,,,
i,1633452098,153218560,104.2839675,-0.283642316,-0.748989033,-10.60708609,0.073442407,0.538660288,-0.115371093,,,,,,,,,,,,
i,1633452098,163232512,104.2939816,0.139330163,-0.999085053,-9.966575189,0.058520142,0.539158702,-0.085524067,,,,,,,,,,,,
e,1633452098,211658241,104.303611,,,,,,,5.814657783,6.056935191,,,,,,,,,,
of,1633452098,211658239,104.303611,,,,0,0,0.070491571,,,55.47942228,48.64470148,0,0,0,0.997253092,0.074069362,0.935796918,0,0
ho,1633452098,211658241,104.303611,,,,0,0,0.10275427,,,55.30228759,48.58466338,0,0,0,0.997728856,0.067358228,0.928434956,0,0
i,1633452098,173249024,104.303998,0.275589011,-1.251092533,-9.300960239,0.028433125,0.537264585,-0.062278226,,,,,,,,,,,,
p,1633452098,430183750,104.307169,,,,-0.006036768,-0.018110305,-0.038338629,,,33.44301518,-54.48964836,-5.848710998,0.002337998,-0.084876208,0.942723245,0.322588663,0.841128001,-0.010370239,-0.006000616
i,1633452098,183267072,104.3140161,-0.082104767,-1.327155343,-8.689978797,0.000837941,0.540702581,-0.046523701,,,,,,,,,,,,
i,1633452098,193287424,104.3240364,-0.138348897,-1.369881555,-8.8419352,-0.009276222,0.541470408,-0.039325934,,,,,,,,,,,,
of,1633452098,235285521,104.3272383,,,,0,0,0.070491571,,,55.45755963,48.64796712,0,0,0,0.997314428,0.073238861,0.935362302,0,0
i,1633452098,203303424,104.3340523,-0.261865916,-1.326389766,-9.571410335,-0.008468564,0.540380836,-0.038957097,,,,,,,,,,,,
i,1633452098,213321216,104.3440702,-0.212208809,-1.212833018,-9.986087699,-0.00454274,0.538694441,-0.040430892,,,,,,,,,,,,
of,1633452098,255296469,104.3472493,,,,0,0,0.070491571,,,55.43904659,48.65070092,0,0,0,0.997365836,0.072535436,0.934994207,0,0
i,1633452098,223334912,104.354084,-0.050342692,-0.400993816,-11.9508119,-0.015010766,0.538716495,-0.046272583,,,,,,,,,,,,
of,1633452098,275315523,104.3672683,,,,0,0,0.070491571,,,55.4205295,48.65340863,0,0,0,0.997416768,0.071831689,0.934625964,0,0
i,1633452098,243368448,104.3741174,0.934648821,-0.538809209,-10.85728835,-0.036766518,0.536841094,-0.056429069,,,,,,,,,,,,
p,1633452098,500231750,104.3772171,,,,-0.01438506,0.048427326,-0.049134335,,,33.39686934,-54.45314787,-5.845474448,0.002981725,-0.085276912,0.942269593,0.323800822,1.237589891,0.002608146,-0.048563307
i,1633452098,253382400,104.3841314,0.959297452,-0.607062953,-8.524455642,-0.02863409,0.536196709,-0.051738009,,,,,,,,,,,,
i,1633452098,263398656,104.3941476,0.465876477,-0.333957339,-8.134377297,-0.023144457,0.539847672,-0.049804736,,,,,,,,,,,,
i,1633452098,273416704,104.4041657,0.174286307,-0.093509054,-8.389055823,-0.010657549,0.538798332,-0.050310623,,,,,,,,,,,,
p,1633452098,529627750,104.4066131,,,,0.031130427,-0.121235594,-0.101671551,,,33.36816074,-54.43076964,-5.844701228,0.002304152,-0.085243462,0.942019338,0.324542464,0.996031965,0.031550256,-0.109046
i,1633452098,283430400,104.4141793,-0.190730041,0.075197161,-8.352008825,-0.010775946,0.541050434,-0.053965684,,,,,,,,,,,,
p,1633452098,562900750,104.4398861,,,,8.96E-15,0.08369996,-0.067922737,,,33.34156685,-54.4107073,-5.846390646,0.0045164,-0.085405966,0.941506499,0.325961556,0.874509814,0.007329681,0.014002995
of,1633452098,357782125,104.4497349,,,,0,0,0.102524926,,,55.33465752,48.66079988,0,0,0,0.998066051,0.062162358,1.004907051,0,0
of,1633452098,357782125,104.4497349,,,,0,0,0.102524926,,,55.33465752,48.66079988,0,0,0,0.998066051,0.062162358,1.004907051,0,0
i,1633452098,343525888,104.4742749,0.048693856,0.291826755,-10.5422404,0.001361968,0.53753674,-0.018750304,,,,,,,,,,,,
p,1633452098,600254750,104.4772401,,,,-0.008198692,-0.008198692,-0.071002758,,,33.31567752,-54.3909384,-5.843865549,0.003152914,-0.084890499,0.941098139,0.327288795,1.023277282,0.008553283,-0.09653047
i,1633452098,353541632,104.4842906,-0.280395351,0.105051918,-9.724303141,0.015361065,0.537746072,-0.017030189,,,,,,,,,,,,
of,1633452098,395307541,104.4872603,,,,0,0,0.102524926,,,55.2972228,48.66548112,0,0,0,0.998183782,0.060242319,1.005798436,0,0
of,1633452098,410255671,104.5022085,,,,0,0,0.088856498,,,55.28422125,48.66889486,0,0,0,0.998073092,0.062049192,0.985251017,0,0
ho,1633452098,410255603,104.5022085,,,,0,0,0.042287292,,,55.10941724,48.60978383,0,0,0,0.998003251,0.063162569,0.979295941,0,0
e,1633452098,410255603,104.5022085,,,,,,,5.814657783,6.056935191,,,,,,,,,,
p,1633452098,630032750,104.5070181,,,,-0.022378443,0.007459481,-0.07270603,,,33.29174004,-54.37189017,-5.844855876,0.003317583,-0.08504195,0.940740855,0.328273521,0.925365657,-0.002789664,-0.043802476
i,1633452098,383588608,104.5143375,-0.271723348,0.009713788,-9.464249937,0.029814543,0.538916051,-0.027140105,,,,,,,,,,,,
i,1633452098,393606400,104.5243554,-0.014253865,-0.008783171,-8.734943144,0.03868781,0.541139781,-0.032032076,,,,,,,,,,,,
of,1633452098,435295582,104.5272484,,,,0,0,0.088856498,,,55.25973715,48.67195098,0,0,0,0.998141503,0.060938818,0.985530263,0,0
i,1633452098,403620352,104.5343692,0.122374918,-0.149048506,-8.03023011,0.053007703,0.543688178,-0.03826597,,,,,,,,,,,,
p,1633452098,662761750,104.539747,,,,1.91E-15,0.033252733,-0.082096126,,,33.26813256,-54.35286991,-5.844372109,0.003183709,-0.085342373,0.940318803,0.329404148,0.902029558,-0.004514349,-0.03043199
i,1633452098,413641728,104.5443907,-0.088546472,-0.164756135,-9.877310513,0.062382758,0.545323253,-0.042440955,,,,,,,,,,,,
i,1633452098,423659264,104.5544083,-0.395860362,0.106141449,-10.37016534,0.056708824,0.54314667,-0.052050252,,,,,,,,,,,,
i,1633452098,433673216,104.5644221,-0.117036663,0.071227906,-11.07043659,0.037054192,0.538401604,-0.059156485,,,,,,,,,,,,
p,1633452098,696406750,104.5733922,,,,-0.004001536,-0.001802509,-0.081751774,,,33.2445435,-54.33376791,-5.843479089,0.002775558,-0.085153614,0.93986461,0.330750167,0.940017786,-0.001534618,-0.039036488
i,1633452098,443688704,104.5744376,0.257702166,0.067501857,-9.930353537,-0.011869851,0.53542459,-0.064004019,,,,,,,,,,,,
of,1633452098,509313822,104.6012666,,,,0,0,0.076203914,,,55.19018292,48.68205369,0,0,0,0.998196512,0.060031025,0.95133103,0,0
i,1633452098,473735424,104.6044843,0.52089639,-1.040028546,-9.571088848,-0.054172143,0.540267587,-0.048119713,,,,,,,,,,,,
i,1633452098,493766912,104.624516,-0.355400671,-0.931228637,-8.716907136,0.030084528,0.539284945,-0.018746288,,,,,,,,,,,,
of,1633452098,535271645,104.6272244,,,,0,0,0.076203914,,,55.16566974,48.68501282,0,0,0,0.998255397,0.059043736,0.951073372,0,0
of,1633452098,535271645,104.6272244,,,,0,0,0.076203914,,,55.16566974,48.68501282,0,0,0,0.998255397,0.059043736,0.951073372,0,0
i,1633452098,533829120,104.6645782,0.299581077,1.022135381,-11.58544246,-0.010324463,0.537594736,-0.052771211,,,,,,,,,,,,
of,1633452098,575287104,104.6672399,,,,0,0,0.076203914,,,55.12788535,48.68949817,0,0,0,0.998344259,0.05752166,0.950676177,0,0
p,1633452098,796491750,104.6734772,,,,-0.002923572,0.011893782,-0.098152723,,,33.17158333,-54.27427604,-5.841445252,0.003142448,-0.085359583,0.938486304,0.334585301,0.909215878,-0.00081192,-0.026132091
i,1633452098,543846400,104.6745954,0.406086463,1.194709113,-11.33070666,-0.052220307,0.537538588,-0.073753089,,,,,,,,,,,,
i,1633452098,553859584,104.6846085,0.703199707,0.599874942,-10.6365156,-0.083519764,0.536019206,-0.087096594,,,,,,,,,,,,
of,1633452098,595648766,104.6876016,,,,0,0,0.076203914,,,55.10865814,48.69172118,0,0,0,0.998388585,0.056747108,0.950474067,0,0
i,1633452098,563874816,104.6946237,0.80138711,0.138854317,-8.643175545,-0.078271963,0.538610935,-0.092778265,,,,,,,,,,,,
e,1633452098,607899496,104.6998522,,,,,,,5.572380376,6.056935191,,,,,,,,,,
of,1633452098,607899427,104.6998522,,,,0,0,0.037505323,,,55.09808969,48.69821903,0,0,0,0.997979372,0.063538749,0.947104889,0,0
ho,1633452098,607899496,104.6998522,,,,0,0,-0.09488946,,,54.92397033,48.63380144,0,0,0,0.997369529,0.072484631,0.946175696,0,0
i,1633452098,573895168,104.7046442,0.775839338,-0.254593149,-8.875835716,-0.029566532,0.541143358,-0.092999861,,,,,,,,,,,,
i,1633452098,583908608,104.7146575,0.286159303,-0.218787968,-9.28131855,0.038277768,0.540152609,-0.084813781,,,,,,,,,,,,
i,1633452098,593924096,104.724673,0.020617124,0.050330508,-9.30846667,0.073813878,0.541353703,-0.076885864,,,,,,,,,,,,
of,1633452098,635474682,104.7274275,,,,0,0,0.037505323,,,55.07218838,48.70153059,0,0,0,0.998012095,0.063022676,0.946777225,0,0
of,1633452098,635474682,104.7274275,,,,0,0,0.037505323,,,55.07218838,48.70153059,0,0,0,0.998012095,0.063022676,0.946777225,0,0
i,1633452098,603941120,104.7346902,-0.18297486,0.572114828,-9.508681199,0.088887729,0.539531231,-0.073482081,,,,,,,,,,,,
i,1633452098,613954560,104.7447035,-0.824039013,0.963488547,-10.60612163,0.059862755,0.544932067,-0.075736463,,,,,,,,,,,,
i,1633452098,623970560,104.7547195,-1.141736524,0.7787005,-11.60448151,0.018378254,0.541291535,-0.070589937,,,,,,,,,,,,
i,1633452098,633993984,104.7647431,-0.788196204,0.220479282,-10.08722869,-0.010364027,0.53876549,-0.065204896,,,,,,,,,,,,
of,1633452098,675318718,104.7672715,,,,0,0,0.037505323,,,55.03477398,48.70627481,0,0,0,0.998058906,0.062276962,0.946303776,0,0
of,1633452098,675318718,104.7672715,,,,0,0,0.037505323,,,55.03477398,48.70627481,0,0,0,0.998058906,0.062276962,0.946303776,0,0
i,1633452098,644007424,104.7747564,-0.010172444,-0.289748706,-8.814132416,-0.020033088,0.537407637,-0.06306693,,,,,,,,,,,,
of,1633452098,706688166,104.798641,,,,0,0,0.042869003,,,55.00351192,48.70948519,0,0,0,0.998156884,0.060686373,0.96876381,0,0
ho,1633452098,706688054,104.798641,,,,0,0,0.061235052,,,54.82676897,48.64624676,0,0,0,0.998499108,0.054767976,0.975286974,0,0
e,1633452098,706688054,104.798641,,,,,,,5.572380376,6.056935191,,,,,,,,,,
i,1633452098,674053120,104.8048022,0.457847996,-0.596231872,-9.820353531,0.012770686,0.542352021,-0.087967284,,,,,,,,,,,,
p,1633452098,929497750,104.806483,,,,0.026901419,-0.066674596,-0.132376536,,,33.07848325,-54.19713612,-5.837201952,0.002892194,-0.085255044,0.936267918,0.340772062,0.990563183,-0.014645769,-0.140566307
i,1633452098,684068352,104.8148174,0.739029876,-0.537507041,-9.673086748,0.018632356,0.540961504,-0.092405193,,,,,,,,,,,,
i,1633452098,694085376,104.8248343,0.67872826,-0.337826618,-10.65711415,0.013276374,0.543013573,-0.097830914,,,,,,,,,,,,
of,1633452098,735355139,104.8273079,,,,0,0,0.042869003,,,54.97594419,48.71284978,0,0,0,0.998193985,0.060073032,0.968817127,0,0
i,1633452098,704098560,104.8348475,0.124765722,-0.352486391,-11.58814763,-0.011884647,0.537571669,-0.090369068,,,,,,,,,,,,
p,1633452098,963454750,104.84044,,,,-0.027480415,0.040792953,-0.120520256,,,33.0532702,-54.1744911,-5.839641536,0.004299333,-0.085206394,0.935534618,0.342777426,0.94794876,-0.03238574,0.009270777
i,1633452098,714113792,104.8448627,-0.108142194,-0.576291529,-10.86476906,-0.021499326,0.539702952,-0.073089212,,,,,,,,,,,,
i,1633452098,724131072,104.8548801,0.379021675,-0.61959861,-9.5774426,-0.009159209,0.535815895,-0.054474819,,,,,,,,,,,,
of,1633452098,775292158,104.867245,,,,0,0,0.042869003,,,54.93753031,48.71749021,0,0,0,0.998245043,0.059218526,0.968891404,0,0
i,1633452098,744159744,104.8749087,0.340907816,0.171752588,-8.200908163,-0.002714739,0.540198326,-0.053317018,,,,,,,,,,,,
i,1633452098,754176768,104.8849258,0.146906964,0.312155622,-8.742787428,-0.002550221,0.543736935,-0.068246901,,,,,,,,,,,,
of,1633452098,795332670,104.8872855,,,,0,0,0.042869003,,,54.91824905,48.71978592,0,0,0,0.998270389,0.058789716,0.968928676,0,0
i,1633452098,764189696,104.8949387,-0.238943909,0.406692722,-9.698907418,0.002551657,0.543542802,-0.096502498,,,,,,,,,,,,
of,1633452098,805726051,104.8976789,,,,0,0,0.082329837,,,54.90563469,48.71594434,0,0,0,0.99868909,0.051186934,0.993785296,0,0
ho,1633452098,805725979,104.8976789,,,,0,0,0.217443153,,,54.72732892,48.65681231,0,0,0,0.998696826,0.051035767,1.000865964,0,0
e,1633452098,805725979,104.8976789,,,,,,,5.572380376,6.056935191,,,,,,,,,,
i,1633452098,774204672,104.9049537,-0.466225765,0.208603387,-11.10926521,0.01447993,0.543181837,-0.116050877,,,,,,,,,,,,
p,1633452099,29788750,104.906774,,,,0.011310783,-0.021658501,-0.103870518,,,33.00668807,-54.13249898,-5.834563465,0.00306171,-0.085577329,0.934083877,0.34663303,0.80191219,-0.020735068,0.002855988
i,1633452098,784221952,104.9149709,-0.396350338,0.016429381,-11.22693415,0.013928046,0.541706979,-0.114683039,,,,,,,,,,,,
i,1633452098,794235136,104.9249842,0.085306476,-0.086913345,-10.6021539,0.014770967,0.541955233,-0.10083244,,,,,,,,,,,,
of,1633452098,835312128,104.9272649,,,,0,0,0.082329837,,,54.87637923,48.71895116,0,0,0,0.99875069,0.049970584,0.994282951,0,0
of,1633452098,835312128,104.9272649,,,,0,0,0.082329837,,,54.87637923,48.71895116,0,0,0,0.99875069,0.049970584,0.994282951,0,0
p,1633452099,67174750,104.94416,,,,0.056629148,0.09069892,-0.11139639,,,32.98444792,-54.11249977,-5.832364955,0.003679329,-0.085514057,0.933425834,0.348410707,1.021783072,-0.012127827,0.006984358
i,1633452098,814267392,104.9450164,-0.169685828,0.115124673,-9.427517996,-0.014484682,0.54236275,-0.068897881,,,,,,,,,,,,
i,1633452098,824280320,104.9550292,-0.25265608,0.215464578,-9.856717807,-0.020551804,0.539637506,-0.069633059,,,,,,,,,,,,
i,1633452098,834295552,104.9650445,0.102447033,0.244806462,-9.655728202,-0.009641585,0.541974306,-0.078500338,,,,,,,,,,,,
of,1633452098,875344038,104.9672968,,,,0,0,0.082329837,,,54.83676156,48.7229255,0,0,0,0.998831681,0.048324665,0.994956311,0,0
p,1633452099,96414750,104.9734001,,,,0.007288001,-0.065185859,-0.083095992,,,32.9620795,-54.09281291,-5.830154199,0.002869302,-0.084273043,0.932931704,0.350040364,0.911863401,-0.018109852,-0.11290133
i,1633452098,846316544,104.9770656,0.472045813,0.308229352,-10.04586091,-0.00340997,0.539840996,-0.096079648,,,,,,,,,,,,
i,1633452098,856333568,104.9870825,0.359545186,0.460024938,-10.99802836,0.006828714,0.541789949,-0.108726054,,,,,,,,,,,,
of,1633452098,895344496,104.9872973,,,,0,0,0.082329837,,,54.81695157,48.72484686,0,0,0,0.998871129,0.047502294,0.99529273,0,0
i,1633452098,866346752,104.9970958,0.479459523,0.117002002,-10.60311602,0.01294592,0.537583649,-0.115158789,,,,,,,,,,,,
of,1633452098,905322075,104.9972749,,,,0,0,0.08179233,,,54.80954709,48.72556636,0,0,0,0.998885811,0.047192554,0.963297683,0,0
p,1633452099,129913750,105.0068991,,,,-0.055450225,-0.05496167,-0.10992334,,,32.9396418,-54.07179728,-5.831783066,0.004047922,-0.084537218,0.932450201,0.35124592,0.918777463,-0.015187548,-0.047458322
i,1633452098,876361728,105.0071108,0.721482894,-0.062675163,-9.476264784,0.011085518,0.541074216,-0.114795417,,,,,,,,,,,,
of,1633452098,935271025,105.0272238,,,,0,0,0.08179233,,,54.78082698,48.72828621,0,0,0,0.998942863,0.045969086,0.96322127,0,0
of,1633452098,935271025,105.0272238,,,,0,0,0.08179233,,,54.78082698,48.72828621,0,0,0,0.998942863,0.045969086,0.96322127,0,0
i,1633452098,906406144,105.0371552,-0.746239296,-0.380963676,-10.12017468,0.00829906,0.543270528,-0.105671145,,,,,,,,,,,,
p,1633452099,163154750,105.0401402,,,,8.07E-15,0.056496493,-0.102181938,,,32.91708618,-54.0511483,-5.831178702,0.004730432,-0.085709826,0.931724531,0.352875114,0.91907497,-0.021283304,-0.05134279
i,1633452098,916423168,105.0471721,-1.002548199,-0.215198017,-9.660756843,0.030510327,0.545573235,-0.110619351,,,,,,,,,,,,
i,1633452098,926436096,105.0571852,-0.70880403,-0.278712677,-8.82585208,0.028308228,0.54024595,-0.11378666,,,,,,,,,,,,
of,1633452098,975314856,105.0672677,,,,0,0,0.08179233,,,54.74242096,48.73182842,0,0,0,0.999016804,0.044333117,0.963119102,0,0
of,1633452098,975314856,105.0672677,,,,0,0,0.08179233,,,54.74242096,48.73182842,0,0,0,0.999016804,0.044333117,0.963119102,0,0
p,1633452099,196347750,105.073333,,,,0.013543815,-0.017916782,-0.08210501,,,32.89476912,-54.030274,-5.830653359,0.004002153,-0.085370774,0.931128793,0.354534886,0.836246824,-0.014539367,-0.048049496
of,1633452099,4181385,105.0961342,,,,0,0,0.085666269,,,54.71780663,48.73342394,0,0,0,0.999099436,0.042430144,0.921438868,0,0
ho,1633452099,4181451,105.0961342,,,,0,0,0.098925252,,,54.54761125,48.67356808,0,0,0,0.999149457,0.041235461,0.909564507,0,0
e,1633452099,4181451,105.0961342,,,,,,,5.39067232,6.056935191,,,,,,,,,,
i,1633452098,976512512,105.1072614,1.18599338,-0.435450834,-10.01842929,-0.045047514,0.543432951,-0.130996585,,,,,,,,,,,,
p,1633452099,232399750,105.109385,,,,0.007906609,0.050627003,-0.127244837,,,32.87266801,-54.00969379,-5.830212449,0.00451578,-0.085251927,0.930622526,0.355884013,0.972479934,-0.010974188,-0.001604671
i,1633452098,986525184,105.1172743,0.653492112,-0.655428194,-10.20743679,-0.026217058,0.54344672,-0.130312547,,,,,,,,,,,,
of,1633452099,35313368,105.1272662,,,,0,0,0.085666269,,,54.68923702,48.73585494,0,0,0,0.999155127,0.041097827,0.920579859,0,0
i,1633452098,996539904,105.1272888,-0.184285394,-0.634431583,-10.60406762,0.021749865,0.545029521,-0.127686679,,,,,,,,,,,,
i,1633452099,6556416,105.1373055,-0.391580603,-0.375825838,-9.796443079,0.06931036,0.540840387,-0.125565827,,,,,,,,,,,,
p,1633452099,263277750,105.1402631,,,,-1.46E-15,0.020984417,-0.113732833,,,32.85051555,-53.98952396,-5.828148163,0.003999289,-0.084851093,0.929935229,0.35777754,0.905563032,-0.020572243,-0.017910398
i,1633452099,16569344,105.1473184,-0.455116854,0.226563388,-9.957153865,0.075399272,0.543032348,-0.12393643,,,,,,,,,,,,
i,1633452099,26583808,105.1573329,-0.685396997,0.666146791,-9.925645797,0.056302886,0.539091945,-0.125432089,,,,,,,,,,,,
of,1633452099,75295925,105.1672487,,,,0,0,0.085666269,,,54.6525762,48.73887596,0,0,0,0.999224045,0.039386636,0.919476641,0,0
i,1633452099,36600576,105.1673496,-0.107344815,0.426964087,-9.517792142,0.016459431,0.542033076,-0.127806962,,,,,,,,,,,,
p,1633452099,296184750,105.1731701,,,,0.007250332,0.020507037,-0.117132707,,,32.82886723,-53.96908517,-5.826594803,0.003836988,-0.084719926,0.929265416,0.359546379,0.8852044,-0.006008419,-0.022667693
i,1633452099,46613248,105.1773622,0.516207209,0.250006917,-8.190236547,-0.028630128,0.537403941,-0.126677394,,,,,,,,,,,,
i,1633452099,56627968,105.187377,1.09041426,0.088313887,-8.410590778,-0.044535205,0.54318732,-0.133094952,,,,,,,,,,,,
of,1633452099,102990389,105.1949432,,,,0,0,0.091944374,,,54.62195936,48.7405678,0,0,0,0.999314155,0.037029982,0.987198513,0,0
p,1633452099,329857750,105.2068431,,,,0.039382468,0.01635268,-0.105217777,,,32.80698398,-53.94887309,-5.825288478,0.003727102,-0.084474614,0.928566149,0.361407048,0.892161385,-0.01013868,-0.026388952
of,1633452099,135319948,105.2272727,,,,0,0,0.091944374,,,54.59012409,48.74293039,0,0,0,0.999368087,0.035544701,0.98763897,0,0
i,1633452099,96695040,105.2274439,0.126674378,-0.570506443,-9.767591663,0.061622754,0.538719893,-0.091421999,,,,,,,,,,,,
p,1633452099,363241750,105.240227,,,,1.07E-14,0.06793328,-0.052411662,,,32.78529239,-53.92847754,-5.824080263,0.003859576,-0.083758857,0.927986296,0.363057835,0.9072886,-0.016830796,-0.01566216
i,1633452099,116722432,105.2474713,0.286455711,0.445541033,-9.576489245,0.003494324,0.539384902,-0.087308168,,,,,,,,,,,,
of,1633452099,159482718,105.2514355,,,,0,0,0.091944374,,,54.56631633,48.74462608,0,0,0,0.999406954,0.034434566,0.987968163,0,0
of,1633452099,159482718,105.2514355,,,,0,0,0.091944374,,,54.56631633,48.74462608,0,0,0,0.999406954,0.034434566,0.987968163,0,0
i,1633452099,126738944,105.257488,0.467136231,-0.041246052,-8.616600257,-0.052520327,0.54015547,-0.087267868,,,,,,,,,,,,
i,1633452099,136751360,105.2675004,0.005866472,-0.183165925,-7.649030068,-0.0757889,0.544972539,-0.097552381,,,,,,,,,,,,
p,1633452099,396179750,105.273165,,,,-0.100812022,-0.033168139,-0.084717225,,,32.76370874,-53.9078548,-5.822501775,0.002893645,-0.083349256,0.927676308,0.363952189,0.886087062,-0.018959704,-0.037202493
i,1633452099,146766080,105.2775152,-0.891154693,-0.657883186,-8.963179068,-0.080312394,0.544909596,-0.111299962,,,,,,,,,,,,
of,1633452099,195232630,105.2871854,,,,0,0,0.091944374,,,54.53107163,48.74705768,0,0,0,0.999462198,0.032791993,0.988455219,0,0
i,1633452099,156782592,105.2875316,-1.22454026,-0.939435106,-10.1870358,-0.06016117,0.543994069,-0.115487903,,,,,,,,,,,,
i,1633452099,166795008,105.297544,-0.583083601,-1.051748429,-10.20479475,-0.009909881,0.540121853,-0.117368095,,,,,,,,,,,,
e,1633452099,213332046,105.3052847,,,,,,,5.39067232,6.056935191,,,,,,,,,,
of,1633452099,213331938,105.3052847,,,,0,0,0.093588478,,,54.51278124,48.74804649,0,0,0,0.999498939,0.031652331,0.993790923,0,0
ho,1633452099,213332046,105.3052847,,,,0,0,0.09907692,,,54.3411508,48.68845329,0,0,0,0.999520493,0.030964233,0.995116051,0,0
p,1633452099,429910750,105.306896,,,,-0.007349209,-0.024374569,-0.100027567,,,32.74226986,-53.88699939,-5.821643402,0.002912859,-0.085125771,0.927010529,0.36523499,0.887954627,-0.018879376,-0.016552871
i,1633452099,186826496,105.3175755,0.488577919,0.255161669,-10.80280039,0.066468172,0.539835095,-0.107671283,,,,,,,,,,,,
i,1633452099,196838912,105.3275878,0.655687649,0.7752375,-11.79657995,0.047152281,0.543891966,-0.10247311,,,,,,,,,,,,
i,1633452099,216869376,105.3476183,0.400393878,0.680011431,-9.351790848,-0.010081379,0.541040063,-0.093794629,,,,,,,,,,,,
i,1633452099,226881792,105.3576307,0.278094089,0.400601821,-8.996416152,-0.015642134,0.538846135,-0.099249244,,,,,,,,,,,,
of,1633452099,275305271,105.3672581,,,,0,0,0.093588478,,,54.45127905,48.75186371,0,0,0,0.999586528,0.02875366,0.994824727,0,0
p,1633452099,496350750,105.3733361,,,,0.009346925,-0.025450443,-0.086699711,,,32.70006022,-53.84587117,-5.81846713,0.00385716,-0.085637652,0.925768294,0.368245002,0.975257317,-0.003960353,-0.063135911
of,1633452099,295310259,105.3872631,,,,0,0,0.093588478,,,54.43140717,48.75300791,0,0,0,0.999613007,0.027817916,0.995158439,0,0
i,1633452099,256924928,105.3876739,-0.053437037,0.018188065,-9.070029085,0.017777292,0.5420385,-0.120459504,,,,,,,,,,,,
i,1633452099,266939392,105.3976884,-0.171607937,0.154504826,-10.02883729,0.00636311,0.540606499,-0.127922863,,,,,,,,,,,,
