Sec,NanoSec,0ref_Sec,a_x,a_y,a_z,w_x,w_y,w_z
1632492884,338139136,15.9091382,6.595646858,-0.918799639,-22.81237602,-0.419088036,0.526926756,0.107468814
1632492884,438208768,16.00920796,5.035934448,-0.285236657,-14.30213833,-0.34175536,0.528404057,0.050712671
1632492884,538280192,16.10927939,6.038771629,1.665056109,-15.24436283,0.023919366,0.550569594,0.009524652
1632492884,638353408,16.20935249,7.016104221,1.350938678,-21.42194176,0.129635125,0.555347085,0.055905495
1632492884,738422784,16.30942202,8.750603676,-1.288065672,-16.97309494,0.175710589,0.540347278,-0.009189593
1632492884,838500096,16.40949917,9.326658249,-0.09420377,-11.53813267,0.238596484,0.55071646,-0.001979155
1632492884,938567424,16.50956655,7.973877907,-0.389099538,-12.65581989,0.338378668,0.549487531,-0.136119589
1632492885,38636544,16.60963559,6.172861576,2.391972303,-18.96990395,-0.104675189,0.55776,-0.172535926
1632492885,138707456,16.70970654,10.04890156,3.897454977,-15.37604141,0.040603343,0.53737849,0.003183829
1632492885,238774272,16.80977345,9.135267258,3.08128643,-11.972332,0.070153572,0.545707166,-0.149206161
1632492885,338843136,16.90984225,8.975605011,2.00219965,-15.30671406,0.001104216,0.563504815,-0.571279705
1632492885,438914048,17.00991321,9.249452591,-3.219917297,-12.7924633,0.21441038,0.559210956,-0.511799932
1632492885,538987008,17.10998607,7.694857121,-2.885770798,-12.19014931,0.17453222,0.555764198,-0.184842601
1632492885,639061504,17.2100606,8.627165794,-1.031725168,-10.23449802,0.41457057,0.568208992,0.133388191
1632492885,739132160,17.31013131,10.72490311,0.377934963,-10.64616966,0.21593459,0.575666606,0.184861273
1632492885,839204608,17.4102037,11.46005249,-3.962599277,-10.85587597,0.090609662,0.520551562,-0.089799754
1632492885,939272960,17.51027203,7.719630241,-3.575765371,-11.24440956,-0.839484155,0.511710882,0.106309928
1632492886,39343360,17.6103425,7.360433578,1.224563122,-9.822357178,-0.310654938,0.532663763,0.002188616
1632492886,139415552,17.71041465,7.706401348,3.433183432,-11.5154295,0.297183961,0.553860366,0.020522667
1632492886,239483648,17.81048274,9.235741615,2.729433775,-5.341870308,-0.177139163,0.542378366,0.246396527
1632492886,339559680,17.91055894,10.73983669,1.865026236,-9.789847374,-0.192913488,0.534357429,0.205230549
1632492886,439631616,18.01063085,8.945854187,4.446326256,-6.041767597,-0.291593909,0.535734951,-0.043144677
1632492886,539705600,18.11070466,6.918485641,2.850697994,-5.836349487,-0.100259073,0.541460216,-0.02524209
1632492886,639775744,18.2107749,9.196658134,-1.34058392,-2.739470959,0.445888221,0.552568197,-0.035378154
1632492886,739847680,18.31084681,7.176540852,-3.036421537,-7.866855621,0.660587847,0.579177141,0.056809485
1632492886,839921408,18.41092062,9.30372715,-3.315182686,-4.419817448,-0.027834091,0.536639154,0.216368526
1632492886,939991040,18.51099014,9.31913662,-4.329874516,-3.698985577,-0.831101716,0.501730621,0.265682399
1632492887,40062720,18.61106181,6.915998459,5.557142258,-5.810979366,-0.178987429,0.548836291,-0.076885499
1632492887,140136192,18.71113539,8.768636703,3.761560202,-2.307149887,-0.14436473,0.54751122,-0.249520078
1632492887,240211712,18.81121087,6.318363667,0.312432706,-2.914370537,0.222808436,0.542125583,-0.046526249
1632492887,340283136,18.9112823,6.501889229,-2.815836191,-2.595034599,0.252702862,0.54503262,0.071531668
1632492887,440356352,19.0113554,5.821619987,-1.653476477,0.044229031,-0.252741873,0.54084897,-0.103146143
1632492887,540431360,19.11143041,6.543307304,1.62722826,2.162222862,-0.133454457,0.542518258,0.338984549
1632492887,640508672,19.2115078,7.618113041,3.163525343,-3.147395134,0.269151777,0.548169851,0.481092006
1632492887,740581888,19.31158113,4.912187576,0.440780222,-3.433026791,-0.057934072,0.537160575,0.568807781
1632492887,840663040,19.4116621,4.967266083,-0.486935914,-3.385220528,-0.195673302,0.528884232,0.672121346
1632492887,940734208,19.51173329,4.307763577,-1.270674229,1.304465771,-0.309523225,0.520707786,0.699066043
1632492888,40807168,19.61180639,8.349917412,0.418462038,-4.360074997,0.253518105,0.523783088,0.374272674
1632492888,140882176,19.7118814,2.027041435,-1.253178835,-1.069257736,-0.064316779,0.544652224,0.250347286
1632492888,240958976,19.81195807,3.524614334,0.621739745,3.057724476,0.379548609,0.533447266,0.469740182
1632492888,341031680,19.91203094,2.868253708,-2.78638792,2.296418667,0.14586547,0.538478494,0.317326605
1632492888,441106176,20.01210523,3.311627388,-2.697231293,2.593677044,-0.00519236,0.541627288,-0.091356352
1632492888,541182464,20.11218166,2.35132122,0.065421104,-4.09541893,0.264366478,0.544908166,-0.096273474
1632492888,641254912,20.21225405,2.836350441,1.140009642,-0.652695656,0.216696173,0.541665494,-0.156139404
1632492888,741329152,20.31232834,-0.402653396,1.561300159,-0.894778252,-0.040894296,0.559100688,-0.367144525
1632492888,841405440,20.41240454,0.264418423,-0.209897876,0.366188049,0.213598505,0.55951792,-0.402940691
1632492888,941477888,20.51247692,-2.375868559,-0.664283454,0.099331856,0.166022182,0.567602038,-0.471818686
1632492889,41558016,20.61255717,-0.272976041,-2.574928761,-1.074159622,-0.060581155,0.54987061,-0.482351243
1632492889,141640192,20.71263933,-1.770457149,-3.179553509,-2.505586624,0.074731693,0.558876693,-0.472861946
1632492889,241718272,20.81271744,-2.27828455,-3.983963013,-0.150644302,0.211240366,0.552501321,-0.148401722
1632492889,341798144,20.91279721,-3.028010607,1.436200023,-2.76868248,-0.239017218,0.540861428,-0.048530743
1632492889,441874176,21.01287341,-5.334915161,-1.708554029,-1.514242172,0.399328381,0.555337787,-0.178673998
1632492889,541952000,21.11295104,-3.922680855,-1.31524384,5.102185249,0.231004611,0.539305985,-0.035032235
1632492889,642025728,21.21302485,-5.1414361,-1.927615166,3.82413578,0.167275459,0.554751456,0.044010371
1632492889,742101504,21.31310058,-3.084702492,-2.340624332,0.29763031,-0.034124132,0.533414543,-0.16237998
1632492889,842178816,21.41317797,-7.240531445,-1.226176739,-3.463693619,0.38392815,0.547359049,-0.111336984
1632492889,942258176,21.51325727,-5.901255608,-2.040085793,-0.641684532,0.275408894,0.559724629,-0.000756048
1632492890,42333440,21.61333251,-5.052506924,-2.576928616,-2.875580311,-0.466558993,0.532552779,0.028436579
1632492890,142411008,21.71341014,-7.295955658,-0.907197297,-1.52422905,0.086755358,0.554943264,-0.031962581
1632492890,242490368,21.81348944,-5.068870068,1.164346457,-7.07348156,-0.039306968,0.552965999,-0.027087977
1632492890,342565632,21.91356468,-8.876698494,-0.82333231,-4.755204201,-0.219783008,0.540604591,0.082061365
1632492890,442642688,22.01364183,-7.203438759,-0.493984222,-0.900630474,-0.083416902,0.529945731,-0.19811213
1632492890,542721792,22.11372089,-9.186908722,0.001432776,-2.780340195,0.521949232,0.556124449,-0.117716618
1632492890,642802688,22.21380186,-8.874441147,-1.473219514,-6.878733635,0.058292519,0.557825565,-0.314853013
1632492890,742879744,22.31387877,-9.046557426,-1.944827914,-3.905928135,0.007377969,0.552876294,-0.299563885
1632492890,842958336,22.4139576,-8.209565163,-3.926388741,-4.647109985,0.175920874,0.548675001,-0.192516848
1632492890,943038976,22.51403809,-9.197888374,-3.291833401,-6.470491886,-0.068726741,0.549393177,0.066437863
1632492891,43115520,22.61411476,-6.610689163,-0.064855337,-7.497091293,0.195584595,0.543779731,-0.117741674
1632492891,143194112,22.71419334,-9.410045624,-3.86311698,-1.522450447,-0.236822069,0.548358023,0.079525284
1632492891,243274496,22.8142736,-9.496076584,0.760805368,-9.246091843,-0.05260817,0.540127277,0.077095173
1632492891,343350784,22.91435003,-8.662887573,-2.140320539,-7.770401001,-0.027143443,0.535621226,0.200688854
1632492891,443428864,23.0144279,-10.01333618,-0.343805432,-9.184742928,0.071371302,0.534465492,0.210668355
1632492891,543508992,23.11450815,-11.79031658,-1.231531382,-9.229113579,-0.124741502,0.538885534,0.398654103
1632492891,643585280,23.21458435,-9.343352318,-0.586140096,-4.664915085,0.092469282,0.54117614,0.502932191
1632492891,743663616,23.31466269,-6.726446629,-1.135172486,-8.643249512,0.284009874,0.525818169,0.170428097
1632492891,843743744,23.41474295,-9.052537918,-3.434685469,-9.852415085,-0.666073859,0.51406616,0.158762351
1632492891,943825664,23.51482487,-13.35711193,1.942784309,-15.80759525,-0.144478962,0.545467675,0.079347111
1632492892,43903744,23.61490297,-8.532420158,1.043695569,-12.28784084,-0.130305171,0.537904203,-0.13861081
1632492892,143989504,23.71498871,-9.934099197,1.650781155,-11.27971649,0.108147211,0.554917037,-0.18238534
1632492892,244071168,23.81507039,-8.586452484,-1.235189199,-11.44537926,-0.102752775,0.550135314,-0.2141518
1632492892,344148736,23.91514778,-9.17121315,-2.845009804,-8.345694542,0.097720541,0.559249222,-0.327658832
1632492892,444228352,24.01522756,-9.487837791,-1.459813714,-11.2267561,0.093798079,0.553554654,0.061875761
1632492892,544309760,24.115309,-6.882389069,-2.333722591,-15.90648556,-0.354980469,0.538551092,-0.038251985
1632492892,644387072,24.21538615,-8.799150467,0.866331577,-14.34546852,-0.263855964,0.552724659,0.092828274
1632492892,744466176,24.31546521,-6.213610649,0.26803124,-13.0563736,-0.116416767,0.529940248,0.007408126
1632492892,844547328,24.41554642,-11.26791763,1.175764441,-22.04919624,0.570638359,0.552848577,0.060534112
1632492892,944630272,24.51562953,-7.548240185,-1.308208466,-13.3813591,0.024312261,0.545640171,-0.084836178
1632492893,44709120,24.61570835,-8.267255783,-0.559589565,-16.26266479,-0.150282219,0.546231329,0.027162271
1632492893,144790016,24.71578908,-7.925990105,-1.985485315,-13.20472908,0.124129705,0.555353403,-0.042274963
1632492893,244872960,24.81587219,-6.439780712,-2.321530819,-14.92600536,-0.046633564,0.535763681,0.084305674
1632492893,344951808,24.91595101,-4.958766937,4.789590836,-21.04994392,-0.163377345,0.541342556,-0.054404601
1632492893,445038592,25.0160377,-5.626493454,2.127893925,-15.26831436,0.110357709,0.542397141,0.101058014
1632492893,545121280,25.11612034,-4.72386837,3.019068956,-16.99837875,-0.111318037,0.546068192,-0.036431998
1632492893,645199872,25.21619892,-5.853771687,-0.686087668,-17.99697113,0.049939863,0.544196069,-0.005223518
1632492893,745280512,25.31627965,-5.138381958,-5.767897606,-18.66976929,0.189847216,0.551353455,0.033857554
1632492893,845362944,25.41636205,-3.600550652,-5.925425053,-18.26927567,0.008540672,0.548785985,0.011288112
1632492893,945447168,25.51644635,-3.839946747,-4.478554726,-18.32237625,-0.048787862,0.549168646,0.001928352
1632492894,45527296,25.61652637,-3.983035564,-4.003092766,-16.07965088,-0.376858741,0.52346772,-0.022071743
1632492894,145609472,25.71660852,-2.779834032,0.459626794,-14.65328407,-0.229485691,0.523935735,0.124701507
1632492894,245693440,25.81669259,0.352152824,3.886575699,-20.05897903,0.62676686,0.531283259,0.421293646
1632492894,345773312,25.91677237,-2.037953138,-5.070891857,-20.73545837,0.09432257,0.538707554,0.097272545
1632492894,445855232,26.01685429,-2.647698402,-1.207929254,-15.10107231,-0.0576321,0.555060744,-0.039262805
1632492894,545938944,26.11693811,-0.580953538,-0.384049177,-23.268507,0.175694525,0.563620627,0.019725971
1632492894,646024448,26.21702361,1.631522894,-1.433534384,-20.28636551,-0.079729781,0.528985023,-0.143030405
1632492894,746106112,26.31710529,-0.11107187,-0.796119094,-16.04764748,0.200990319,0.530417085,-0.152610421
1632492894,846189568,26.41718864,-3.441552877,-2.991750717,-23.57129669,-0.486528426,0.535952508,0.180463478
1632492894,946280960,26.5172801,2.276259184,-0.016049027,-18.68585587,0.215732113,0.542491853,-0.080163389
1632492895,46362112,26.61736131,0.461895943,0.928008199,-20.57521057,-0.246711358,0.553841889,0.140483275
1632492895,146445568,26.71744466,3.047683239,0.818583786,-15.8910017,0.066402286,0.556001246,-0.001987813
1632492895,246530816,26.81752992,3.820892811,4.089871407,-21.02904129,-0.545744181,0.525961936,0.086016707
1632492895,346611968,26.91761112,1.970666409,-0.859769642,-15.41736794,0.38017109,0.5594697,-0.169957578
1632492895,446695168,27.01769423,4.203057766,-4.857787132,-16.64066124,0.123789266,0.523305833,-0.031922925
1632492895,546780416,27.11777949,2.346245766,-4.695273876,-24.65185928,-0.303984463,0.549291193,-0.036581691
1632492895,646867200,27.21786642,4.750898361,3.206399202,-17.28384018,-0.119659662,0.535498679,0.056644958
1632492895,746950144,27.3179493,4.388576031,5.771892548,-20.41093445,-0.121350706,0.549194217,-0.0187562
1632492895,847034880,27.41803408,6.358939171,3.676958561,-17.81134033,-0.088545375,0.547443748,-0.168672621
